trt	time	replica	%_germinados
C	8	1	89
C	8	2	85
C	8	3	89
C	8	4	85
C	8	5	87
C	8	6	90
C	8	7	88
C	8	8	89
C	8	9	NaN
1	8	1	84
1	8	2	90
1	8	3	89
1	8	4	85
1	8	5	85
1	8	6	87
1	8	7	91
1	8	8	88
1	8	9	84
2.5	8	1	84
2.5	8	2	86
2.5	8	3	80
2.5	8	3	80
2.5	8	4	86
2.5	8	5	86
2.5	8	6	81
2.5	8	7	84
2.5	8	8	88
2.5	8	9	81
5	8	1	80
5	8	2	80
5	8	3	74
5	8	4	80
5	8	5	75
5	8	6	81
5	8	7	77
5	8	8	74
5	8	9	79
7.5	8	1	84
7.5	8	2	77
7.5	8	3	67
7.5	8	4	81
7.5	8	5	70
7.5	8	6	85
7.5	8	7	73
7.5	8	8	76
7.5	8	9	69
10	8	1	72
10	8	2	75
10	8	3	76
10	8	4	74
10	8	5	78
10	8	6	71
10	8	7	73
10	8	8	77
10	8	9	70
20	8	1	61
20	8	2	58
20	8	3	59
20	8	4	60
20	8	5	62
20	8	6	57
20	8	7	63
20	8	8	56
20	8	9	64
30	8	1	40
30	8	2	53
30	8	3	47
30	8	4	45
30	8	5	50
30	8	6	43
30	8	7	49
30	8	8	46
30	8	9	51
DMSO_35	8	1	88
DMSO_35	8	2	85
DMSO_35	8	3	89
DMSO_35	8	4	90
DMSO_35	8	5	87
DMSO_35	8	6	86
DMSO_35	8	7	91
DMSO_35	8	8	84
DMSO_35	8	9	92
C	24	1	94
C	24	2	92
C	24	3	96
C	24	4	95
C	24	5	93
C	24	6	97
C	24	7	91
C	24	8	98
C	24	9	90
1	24	1	90
1	24	2	92
1	24	3	94
1	24	4	91
1	24	5	93
1	24	6	95
1	24	7	89
1	24	8	96
1	24	9	88
2.5	24	1	86
2.5	24	2	84
2.5	24	3	84
2.5	24	4	85
2.5	24	5	83
2.5	24	6	87
2.5	24	7	82
2.5	24	8	88
2.5	24	9	86
5	24	1	87
5	24	2	88
5	24	3	91
5	24	4	89
5	24	5	90
5	24	6	86
5	24	7	92
5	24	8	85
5	24	9	93
7.5	24	1	84
7.5	24	2	81
7.5	24	3	90
7.5	24	4	85
7.5	24	5	87
7.5	24	6	88
7.5	24	7	86
7.5	24	8	89
7.5	24	9	83
10	24	1	83
10	24	2	88
10	24	3	81
10	24	4	84
10	24	5	86
10	24	6	85
10	24	7	87
10	24	8	82
10	24	9	89
20	24	1	75
20	24	2	70
20	24	3	71
20	24	4	74
20	24	5	72
20	24	6	73
20	24	7	76
20	24	8	69
20	24	9	77
30	24	1	55
30	24	2	61
30	24	3	58
30	24	4	57
30	24	5	59
30	24	6	60
30	24	7	56
30	24	8	62
30	24	9	63
DMSO_35	24	1	90
DMSO_35	24	2	94
DMSO_35	24	3	88
DMSO_35	24	4	91
DMSO_35	24	5	89
DMSO_35	24	6	92
DMSO_35	24	7	93
DMSO_35	24	8	87
DMSO_35	24	9	95
